item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacedBy,nature,natureLabel,source,sourceName,statedName,psid
Q333909,"David Hunt, Baron Hunt of Wirral",Q1846384,Secretary of State for Wales,1995-06-26,1995-07-05,,,,Q333846,Q58282,Q4676846,acting,,,,Q333909-FFFE018E-FB71-4F20-B225-13C0140553AD
Q337047,David James George Hennessy,Q2012061,Leader of the House of Lords,1973-06-05,1974-03-04,,,,Q82278,Q1887053,,,,,,Q337047-21FAD208-D18C-42A7-B4E9-E65B51A25B66
Q337047,David James George Hennessy,Q910308,Lord Privy Seal,1973-06-05,1974-03-01,,,,Q82278,Q1887053,,,,,,Q337047-2625971C-E7DB-438B-A0B6-58CE4F158E58
Q728167,David Jones,Q1846384,Secretary of State for Wales,2012-09-04,2014-07-14,,,,Q333852,Q291393,,,,,,Q728167-B4517914-D37B-4EEF-88A2-3250E78D28CD
Q534727,David Lammy,Q25906161,"Minister of State for Innovation, Universities and Skills",2007-06-28,2010-05-11,,,,Q767696,Q266064,,,,,,Q534727-A96EA925-1C59-4F44-BEEC-B90F9F13BA22
Q333663,David Laws,Q5096927,Chief Secretary to the Treasury,2010-05-12,2010-05-29,,,,Q269697,Q259082,,,,,,Q333663-3F4311B9-CA02-4133-B97F-19E5FBA05844
Q748837,David Lidington,Q162754,Chancellor of the Duchy of Lancaster,2018-01-08,2019-07-24,,,,Q333267,Q333937,,,https://www.express.co.uk/news/politics/901779/David-Lidington-who-is-new-Deputy-PM-First-Secretary-of-State-cabinet-reshuffle,,,Q748837-ce45f5e5-4f4a-8c59-526d-a0065f5c6630
Q748837,David Lidington,Q2636053,Leader of the House of Commons,2016-07-14,2017-06-11,,,,Q337453,Q750091,,,http://www.bbc.co.uk/news/uk-politics-36785814,,,Q748837-e7a8d30e-4265-7306-3f3e-2d8ba49f83d9
Q748837,David Lidington,Q2636053,Leader of the House of Commons,2016-07-14,2017-06-11,,,,Q337453,Q750091,,,https://www.gov.uk/government/news/new-ministerial-appointment-july-2016-leader-of-the-house-of-commons,,,Q748837-e7a8d30e-4265-7306-3f3e-2d8ba49f83d9
Q748837,David Lidington,Q217217,Lord Chancellor,2017-06-11,2018-01-08,,,,Q272201,Q391256,,,,,,Q748837-B30CBD13-515E-4C67-A99F-495C29B72710
Q748837,David Lidington,Q6865995,Minister for the Cabinet Office,2018-01-08,2019-07-24,,,,Q391960,,,,,,,Q748837-d3e9bb91-45ca-f378-9b7f-e38ac2d708a1
Q748837,David Lidington,Q6865827,Minister of State for Europe,2010-05-11,,,,,Q266146,,,,,,,Q748837-3C6C0971-72CD-4A6E-98C3-34F44B1FBBB2
Q748837,David Lidington,Q6865827,Minister of State for Europe,2010-05-12,2016-07-14,,,,Q266146,Q302417,,,,,,Q748837-9EAA0E44-433C-40CA-B4B6-A2176BDD0E86
Q748837,David Lidington,Q3477307,Secretary of State for Justice,2017-06-11,2018-01-08,,,,Q272201,Q391256,,,,,,Q748837-B3D388F8-5547-44B4-BEEA-4F78B77AC7A3
Q3703236,"David Lindsay, 27th Earl of Crawford",Q162754,Chancellor of the Duchy of Lancaster,1919-01-10,1921-04-01,,,,Q8011065,Q2920090,,,,,,Q3703236-57133798-68F4-4E12-8BC1-FE708CBCC773
Q3703236,"David Lindsay, 27th Earl of Crawford",Q910308,Lord Privy Seal,1916-12-15,1919-01-01,,,,Q271878,Q166663,,,,,,Q3703236-0E200847-9268-44D4-ABF9-BF92C1E7ECE5
Q3703236,"David Lindsay, 27th Earl of Crawford",Q3246797,Secretary of State for Transport,1922-04-12,1922-10-31,,,,Q2920090,Q334198,,,,,,Q3703236-1C0C7F10-9652-41A2-8690-F5E009AB28A9
Q134982,David Lloyd George,Q531471,Chancellor of the Exchequer,1908-04-12,1915-05-25,,,,,Q333710,,,,,,Q134982-B2947A3E-7926-4A93-AF78-C5B962F1A6BC
Q134982,David Lloyd George,Q1446566,Minister of Munitions,1915-05-25,1916-07-09,,,,Q1446566,Q332572,,,,,,Q134982-D0E526F7-5590-40E6-A188-C70B56307B67
Q134982,David Lloyd George,Q14211,Prime Minister of the United Kingdom,1916-12-06,1922-10-19,,,,Q166714,Q166663,,,,,,Q134982-C29A2800-6C9D-4C79-9188-762ECEB4E074
Q1175443,David Maclean,Q4122313,Secretary of State for the Environment,1992-04-14,1993-05-27,,,,Q5240503,Q259961,,,,,,Q1175443-CACBAE61-1313-4C9C-83AE-F0DBC188225B
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",Q2631987,Attorney General for England and Wales,1945-05-25,1945-07-26,,,,Q3737152,Q334142,,,,,,Q334337-8E42AADF-B600-4F0E-A612-B8FA11000557
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",Q2484309,Home Secretary,1951-10-27,1954-10-19,,,,Q334318,Q333823,,,,,,Q334337-73024DCC-5E47-40BC-B356-172458023307
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",Q217217,Lord Chancellor,1954-10-18,1962-07-13,,,,Q1203724,Q2271478,,,,,,Q334337-2AF475BA-08CE-4DD9-A01C-39513A012C92
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",Q1846384,Secretary of State for Wales,1951-10-28,1954-10-18,,,,,Q333823,,,,,,Q334337-4850445D-49FA-4BC5-BDFE-06A7FD57F9A5
Q333537,David Mellor,Q5096927,Chief Secretary to the Treasury,1990-11-28,1992-04-11,,,,Q332546,Q333525,,,,,,Q333537-F3EC380D-A91B-47D1-B197-0790EEDAAEC0
Q333537,David Mellor,Q4146869,Minister of State for Foreign Affairs,1987-06-13,1988-07-25,,,,Q2434248,Q332864,,,,,,Q333537-EEABE955-C001-4233-9CFD-8D93968961F8
Q333537,David Mellor,Q23304196,Minister of State for Health,1988-07-25,1989-10-27,,,,Q333068,Q4773597,,,,,,Q333537-5E193D11-470B-4F44-B43A-04CA5F909F8F
Q333537,David Mellor,Q3297079,"Secretary of State for Culture, Media and Sport",1992-04-11,1992-09-22,,,,,Q334257,,,,,,Q333537-429EACD1-E117-411C-85FA-42593F6EFAE6
Q272670,David Miliband,Q6866346,Minister of State for Communities and Local Government,2005-05-05,2006-05-05,,,,,Q272644,,,,,,Q272670-fdb28a57-41d2-d980-37ce-600388ccf866
Q272670,David Miliband,Q14984399,"Secretary of State for Environment, Food and Rural Affairs",2006-05-05,2007-06-28,,,,Q232639,Q262742,,,,,,Q272670-ba9f1dc6-45a6-6af9-cff2-46885fd9c521
Q272670,David Miliband,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,2007-06-28,2010-05-11,,,,Q232639,Q58282,,,,,,Q272670-7b16135e-41fd-98ad-0436-ab2f78d44e88
Q333520,David Mundell,Q7883048,Parliamentary Under-Secretary of State for Scotland,2010-05-11,2015-05-11,,,,Q3411330,Q20011247,,,,,,Q333520-9CEBC595-4A34-4100-AE9E-69461D683573
Q333520,David Mundell,Q111784,Secretary of State for Scotland,2015-05-11,2019-07-24,,,,Q269124,Q30165682,,,,,,Q333520-d0f5d9c0-449f-ee30-8cfa-30f3a1334361
Q1968514,"David Murray, 2nd Earl of Mansfield",Q2012061,Leader of the House of Lords,1779-11-01,1782-03-01,,,,Q38308,Q312573,,,,,,Q1968514-0E09867C-E782-4D29-99D3-B7C2506AFF46
Q1968514,"David Murray, 2nd Earl of Mansfield",Q943379,Lord President of the Council,,,,,,Q8009134,Q335642,,,,,,Q1968514-5CE83505-6D17-4897-ADBA-27D45FB019C6
Q333085,David Owen,Q4146869,Minister of State for Foreign Affairs,1976-09-10,1977-02-21,,,,Q333692,Q1443517,,,,,,Q333085-C4B10C6E-E83B-4F96-874D-173D934344AD
Q333085,David Owen,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1977-02-21,1979-05-04,,,,Q301252,Q335038,,,,,,Q333085-319FB58E-B051-47E4-AEC0-914A10EBFC15
Q1174523,"David Trefgarne, 2nd Baron Trefgarne",Q6866372,Minister of State for Trade,1989-07-25,1990-07-23,,,,Q2894842,Q7804223,,,,,,Q1174523-3A03177C-6B52-4D44-BD88-326A1686BD05
Q334565,"David Waddington, Baron Waddington",Q2484309,Home Secretary,1989-10-26,1990-11-28,,,,Q337375,Q333390,,,,,,Q334565-271621E2-129B-4672-A867-2B15FA5FCE8F
Q334565,"David Waddington, Baron Waddington",Q2012061,Leader of the House of Lords,1990-11-28,1992-04-11,,,,Q335713,Q334298,,,,,,Q334565-A7CE089B-795D-4E51-96FB-EECDDEB35709
Q334565,"David Waddington, Baron Waddington",Q910308,Lord Privy Seal,1990-11-28,1992-04-11,,,,Q335713,Q334298,,,,,,Q334565-A3AC7E34-8F87-41EA-AD27-97C3CF343FAF
Q266064,David Willetts,Q1060844,Paymaster General,1996-07-20,1996-11-21,,,,Q333039,Q1926893,,,,,,Q266064-C482C335-6487-49D2-A969-158B14DD9304
Q104783350,"David Wolfson, Baron Wolfson of Tredegar",Q104882515,Parliamentary Under-Secretary of State for Justice,2020-12-22,,,,,,,,,,,,Q104783350-40599B58-A154-467E-9A1C-B66C3BD68092
Q336171,"David Young, Baron Young of Graffham",Q61412205,Minister without Portfolio,1984-09-11,1985-09-02,,,,Q3401247,Q333159,,,,,,Q336171-B871E6F6-3A1B-4906-8ACE-3EC7BBAA47D5
Q336171,"David Young, Baron Young of Graffham",Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",1987-06-13,1989-07-24,,,,Q3069915,Q324805,,,,,,Q336171-ACE49657-7C37-4128-9CA3-04959086A8CD
Q336171,"David Young, Baron Young of Graffham",Q7444342,Secretary of State for Employment,1985-09-02,1987-06-13,,,,Q333312,Q332919,,,,,,Q336171-0135299D-D45C-4390-BB35-D43A3BEE2A02
Q575217,Dawn Primarolo,Q5449647,Financial Secretary to the Treasury,1997-05-02,1999-01-04,,,,Q6831544,Q4859256,,,,,,Q575217-36343840-5ED2-49C8-AEA6-6EF3B49A7760
Q575217,Dawn Primarolo,Q6865755,Minister of State for Children,2009-06-05,2010-05-11,,,,Q775059,Q695228,,,,,,Q575217-1269CAA0-75D3-435C-9A31-BDBC640C3854
Q575217,Dawn Primarolo,Q25935122,Minister of State for Children and Families,,,,,,,,,,,,,Q575217-DC17D026-1BBB-45F6-A2F1-27DD50740E07
Q575217,Dawn Primarolo,Q23304231,Minister of State for Public Health,2007-06-29,2009-06-05,,,,Q251095,Q740654,,,,,,Q575217-753369DB-2D6D-427A-B180-77708365A7D9
Q575217,Dawn Primarolo,Q1060844,Paymaster General,1999-01-04,2007-06-28,,,,Q480132,Q272642,,,,,,Q575217-65B0580B-0006-4D9A-8C0F-025394B82E48
Q332360,Denis Healey,Q531471,Chancellor of the Exchequer,1974-03-05,1979-05-04,,,,Q333193,Q332323,,,,,,Q332360-7F6A3487-F986-4C42-B252-CECB653F8F5F
Q332360,Denis Healey,Q2747647,Secretary of State for Defence,1964-10-16,1970-06-19,,,,Q334282,Q335038,,,,,,Q332360-352D1DDA-EFCC-4E0E-8A5C-85909BFF07D4
Q695061,Denis MacShane,Q6865827,Minister of State for Europe,2002-04-03,2005-05-05,,,,Q333165,Q259106,,,,,,Q695061-CF77A3FF-FF35-4746-BCC9-39B7FFBE6F67
Q695061,Denis MacShane,Q4146869,Minister of State for Foreign Affairs,2001-06-11,2002-04-03,,,,Q338231,Q767696,,,,,,Q695061-688F8F54-4449-4F23-9515-27DDFA0C3654
Q5259036,"Dennis Vosper, Baron Runcorn",Q3397406,Secretary of State for Health and Social Care,1957-01-16,1957-09-17,,,,Q7352835,Q5262429,,,,,,Q5259036-32F0830C-24A7-4F54-BAED-8A0A42E2644D
Q5261951,Derek Fatchett,Q4146869,Minister of State for Foreign Affairs,1997-01-01,1999-01-01,,,,Q7025093,Q695295,,,,,,Q5261951-D7C8A6EA-CB81-4BEE-98FB-BB45F5449BB2
Q5261951,Derek Fatchett,Q4146869,Minister of State for Foreign Affairs,1997-05-05,1999-05-09,,,,Q7025093,Q332385,,,,,,Q5261951-C401BFDE-60CC-402E-B297-23DDB8510265
Q5262429,"Derek Walker-Smith, Baron Broxbourne",Q5333410,Economic Secretary to the Treasury,1956-01-01,1957-01-01,,,,Q5341978,Q7032247,,,,,,Q5262429-A717BCE8-60ED-45A3-9084-FFFBB719CC28
Q5262429,"Derek Walker-Smith, Baron Broxbourne",Q6866372,Minister of State for Trade,1954-10-18,1955-04-06,,,,Q334287,Q334287,,,,,,Q5262429-37135110-2980-4680-A26A-3AD087C312E2
Q5262429,"Derek Walker-Smith, Baron Broxbourne",Q6866372,Minister of State for Trade,1957-01-16,1957-09-17,,,,Q334287,Q13530061,,,,,,Q5262429-614275E4-28DC-4962-8BF6-FEFA939AE64C
Q5262429,"Derek Walker-Smith, Baron Broxbourne",Q3397406,Secretary of State for Health and Social Care,1957-09-17,1960-07-27,,,,Q5259036,Q333028,,,,,,Q5262429-872DFF18-7D6B-4705-8087-82A55C71A538
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",Q531471,Chancellor of the Exchequer,1958-01-06,1960-07-27,,,,Q334282,Q333080,,,,,,Q334287-2938B25D-E59B-42D6-B256-190324925651
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",Q6866025,"Minister of Agriculture, Fisheries and Food",1954-07-28,1958-01-06,,,,Q7789089,Q6237766,,,,,,Q334287-702E189D-9DFD-4C9E-8A62-BA6C062E413C
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",Q6866372,Minister of State for Trade,1953-09-03,1954-07-28,,,,,Q5262429,,,,,,Q334287-7EDB741F-69E0-43FC-8BCC-4A7300231F9B
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",Q6866372,Minister of State for Trade,1955-04-06,1957-01-16,,,,Q5262429,Q5262429,,,,,,Q334287-02C3EC35-57DE-4DFD-9A4F-3227A0B14C1B
Q334287,"Derick Heathcoat-Amory, 1st Viscount Amory",Q7444357,Secretary of State for Work and Pensions,1951-11-05,1953-09-03,,,,Q5540969,Q11799507,,,,,,Q334287-45F76D97-6C95-4AE5-8562-C28A59FDD2E1
Q337121,"Derry Irvine, Baron Irvine of Lairg",Q217217,Lord Chancellor,1997-05-02,2003-06-12,,,,Q336480,Q337117,,,,,,Q337121-A7042551-AD3B-43F0-A8D4-6B92A2B06C22
Q332587,"Des Browne, Baron Browne of Ladyton",Q5096927,Chief Secretary to the Treasury,2005-05-06,2006-05-05,,,,Q332667,Q272346,,,,,,Q332587-8EDE9E7A-5F9A-4AF0-B3EE-08BF198D6932
Q332587,"Des Browne, Baron Browne of Ladyton",Q2747647,Secretary of State for Defence,2006-05-05,2008-10-03,,,,Q333461,Q332562,,,,,,Q332587-6EA75E97-2933-47AE-B0D3-878BAA73195A
Q332587,"Des Browne, Baron Browne of Ladyton",Q111784,Secretary of State for Scotland,2007-06-28,2008-10-03,,,,Q259106,Q333702,,,,,,Q332587-155B2D74-23F2-47AA-AD7F-F2976FB9B556
Q327823,Desmond Swayne,Q7444352,Secretary of State for International Development,2014-07-14,2016-07-17,,,,Q302417,Q328892,,,,,,Q327823-40822D85-8D73-43F5-989F-D5A8DD65C7FC
Q333706,Dick Taverne,Q5449647,Financial Secretary to the Treasury,1969-10-13,1970-06-19,,,,Q333321,Q24082,,,,,,Q333706-59F9F744-87CB-49F7-BC29-FCDD3BADB369
Q1210156,Dickson Mabon,Q7883048,Parliamentary Under-Secretary of State for Scotland,,,,,,,,,,,,,Q1210156-42591C88-AF0E-4057-B75D-4C8D22EAD35E
Q24039,Digby Jones,Q6866372,Minister of State for Trade,2007-06-29,2008-10-03,,,,Q333318,Q272452,,,,,,Q24039-0995E65D-C7F4-45F7-A50B-58A3BE48DE24
Q332994,Dominic Grieve,Q2631987,Attorney General for England and Wales,2010-05-12,2014-07-15,,,,Q194713,Q260489,,,,,,Q332994-3ad2b708-4a26-40b6-2c40-964bcbc1e508
Q268584,Dominic Raab,Q1507619,Deputy Prime Minister of the United Kingdom,2021-09-15,,,,,,,,,https://www.gov.uk/government/ministers,Dominic Raab,Deputy Prime Minister,Q268584-06169dd7-4c8e-9cc3-a2c0-ecd023280002
Q268584,Dominic Raab,Q3068024,First Secretary of State,2019-07-24,2021-09-15,,,,Q391960,,,,https://www.gov.uk/government/ministers,Dominic Raab,First Secretary of State,Q268584-cb5721a3-40c4-f756-9e36-6fdd9aed3b05
Q268584,Dominic Raab,Q217217,Lord Chancellor,2021-09-15,,,,,Q269853,,,,https://www.gov.uk/government/ministers,Dominic Raab,Lord Chancellor,Q268584-dc1548d4-4bf2-96bf-5b16-52d4c63e5c14
Q268584,Dominic Raab,Q108554330,Minister of State for Courts and Justice,2017-06-12,2018-01-09,,,,Q478711,Q328892,,,,,,Q268584-5395DB37-DE47-4D3B-89BA-99B10DCA9A11
Q268584,Dominic Raab,Q105070637,Minister of State for Housing,2018-01-09,2018-07-09,,,,Q478531,Q6417459,,,,,,Q268584-F62D8A1F-0280-4E8E-BA44-BADD6ACDD00A
Q268584,Dominic Raab,Q104882515,Parliamentary Under-Secretary of State for Justice,2015-05-12,2016-07-16,,,,Q334313,Q750061,,,,,,Q268584-E5B7C4A3-9254-41FA-BB53-63C267BEAE78
Q268584,Dominic Raab,Q25860233,Secretary of State for Exiting the European Union,2018-07-09,2018-11-15,,,,Q300023,Q260546,,,https://www.bbc.co.uk/news/uk-46241693,,,Q268584-917118d4-4892-c823-4a11-784dfbc519b8
Q268584,Dominic Raab,Q25860233,Secretary of State for Exiting the European Union,2018-07-09,2018-11-15,,,,Q300023,Q260546,,,https://twitter.com/DominicRaab/status/1062992019449098241,,,Q268584-917118d4-4892-c823-4a11-784dfbc519b8
Q268584,Dominic Raab,Q25860233,Secretary of State for Exiting the European Union,2018-07-09,2018-11-15,,,,Q300023,Q260546,,,https://www.theguardian.com/politics/2018/jul/09/dominic-raab-appointed-new-brexit-secretary-in-uk-cabinet-reshuffle,,,Q268584-917118d4-4892-c823-4a11-784dfbc519b8
Q268584,Dominic Raab,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,2019-07-24,2021-09-15,,,,Q333533,,,,https://www.gov.uk/government/ministers,Dominic Raab,"Secretary of State for Foreign, Commonwealth and Development Affairs",Q268584-15a58a2a-44f4-357d-7d55-41643dc355c5
Q268584,Dominic Raab,Q3477307,Secretary of State for Justice,2021-09-15,,,,,Q269853,,,,https://www.gov.uk/government/ministers,Dominic Raab,Secretary of State for Justice,Q268584-4ac1a9de-48c9-2d01-564b-9d260d49c7da
Q333158,Donald Dewar,Q111784,Secretary of State for Scotland,1997-05-02,1999-05-17,,,,Q334357,Q333461,,,,,,Q333158-79D897BC-EF36-4868-8D5A-EE86E6E964A0
Q5294786,Donald Maclean,Q3477306,Secretary of State for Education,1931-08-25,1932-06-15,,,,Q6305458,Q333426,,,,,,Q5294786-F67C8989-2D3D-403F-9D6B-41DB5FE47273
Q3737152,"Donald Somervell, Baron Somervell of Harrow",Q2631987,Attorney General for England and Wales,1936-03-18,1945-05-25,,,,Q333019,Q334337,,,,,,Q3737152-89258313-1463-4882-B3C1-3A2A0E50CF33
Q3737152,"Donald Somervell, Baron Somervell of Harrow",Q2484309,Home Secretary,1945-05-25,1945-07-26,,,,Q335791,Q334318,,,,,,Q3737152-6666B762-B9DE-495C-AEC1-6B965FF16660
Q5300550,Doug Henderson,Q6865827,Minister of State for Europe,1997-05-05,1998-07-28,,,,Q300023,Q137911,,,,,,Q5300550-F242CB28-F91E-4646-8323-374F79FBE67B
Q5300550,Doug Henderson,Q6866379,Minister of State for the Armed Forces,1998-07-28,1999-07-29,,,,Q333461,Q389677,,,,,,Q5300550-9640DC91-096D-4CC5-A501-38EDF4D9C107
Q259106,Douglas Alexander,Q162754,Chancellor of the Duchy of Lancaster,2003-06-13,2004-09-08,,,,Q1555319,Q333459,,,,,,Q259106-7B9D7AA6-7979-4D30-BD4C-D72DACE1ABB9
Q259106,Douglas Alexander,Q6865995,Minister for the Cabinet Office,2003-06-13,2004-09-08,,,,Q1555319,Q333459,,,,,,Q259106-CA74241E-3A70-415F-826E-0B6C87860FF1
Q259106,Douglas Alexander,Q6865827,Minister of State for Europe,2005-05-05,2006-05-06,,,,Q695061,Q332385,,,,,,Q259106-72E57D57-32DC-48AC-9331-17D45C93EEC5
Q259106,Douglas Alexander,Q6866372,Minister of State for Trade,2004-09-08,2005-05-05,,,,Q6848224,Q5982575,,,,,,Q259106-8EC2DE20-4F2F-4814-83EF-34E250329DE7
Q259106,Douglas Alexander,Q7444352,Secretary of State for International Development,2007-06-28,2010-05-11,,,,Q262742,Q333261,,,,,,Q259106-61823019-703E-4814-914C-28A6B3D8EC86
Q259106,Douglas Alexander,Q111784,Secretary of State for Scotland,2006-05-06,2007-06-27,,,,Q296639,Q332587,,,,,,Q259106-7B8A3B3E-2A21-424F-9293-28ADF73FFBEE
Q259106,Douglas Alexander,Q3246797,Secretary of State for Transport,2006-05-06,2007-06-27,,,,Q296639,Q272644,,,,,,Q259106-B639F61D-9216-49DF-88A6-B2D1CEEDFEDA
Q333964,Douglas Hogg,Q6866025,"Minister of Agriculture, Fisheries and Food",1995-07-05,1997-05-02,,,,Q332864,Q336214,,,,,,Q333964-586C3D53-039D-43D6-B3E0-1730A826711F
Q333964,Douglas Hogg,Q4146869,Minister of State for Foreign Affairs,1990-11-02,1995-07-05,,,,Q332864,Q7025093,,,,,,Q333964-AAB6BCD3-3474-4E17-AEF7-FAD8172BC003
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q2631987,Attorney General for England and Wales,1922-10-24,1924-01-22,,,,Q13530025,Q7146673,,,,,,Q332706-AA9AFEC3-B7D9-4714-BAE4-7237B0F2F18B
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q2631987,Attorney General for England and Wales,1924-11-06,1928-03-28,,,,Q7146673,Q333019,,,,,,Q332706-50A3B52C-64C7-4452-B802-8F9BE3E6178D
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q2012061,Leader of the House of Lords,1931-11-05,1935-06-07,,,,Q336036,Q333368,,,,,,Q332706-A07954F9-4563-47BE-AD4F-BA72850777F4
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q217217,Lord Chancellor,1928-03-28,1929-06-04,,,,Q334436,Q6256664,,,,,,Q332706-986F718F-AB6B-4078-8EE7-307D7903C592
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q217217,Lord Chancellor,1935-06-07,1938-03-09,,,,Q6256664,Q2271495,,,,,,Q332706-1DA445ED-A7F7-4C76-A2D6-818216E416F6
Q332706,"Douglas Hogg, 1st Viscount Hailsham",Q943379,Lord President of the Council,1938-03-09,1938-10-31,,,,Q333426,Q333376,,,,,,Q332706-218320B8-C587-4DEE-B9C2-D3383CFCFC50
Q5301612,"Douglas Houghton, Baron Houghton of Sowerby",Q162754,Chancellor of the Duchy of Lancaster,1964-10-18,1969-10-05,,,,Q6237766,Q332630,,,,,,Q5301612-3C1F81D1-EC36-4E03-AD52-A6EE814D970A
Q337375,Douglas Hurd,Q2484309,Home Secretary,1985-09-02,1989-10-26,,,,Q332607,Q334565,,,,,,Q337375-C3C3E32C-836F-463A-8C70-4F350688CDCC
Q337375,Douglas Hurd,Q6865827,Minister of State for Europe,1979-05-04,1983-06-09,,,,,Q333487,,,,,,Q337375-71F46831-6008-45D6-8BB8-571116C52AED
Q337375,Douglas Hurd,Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1989-10-26,1995-07-05,,,,Q9559,Q333487,,,,,,Q337375-5F6436BB-B39C-41FE-B2FE-3E01011D6D35
Q337375,Douglas Hurd,Q1369302,Secretary of State for Northern Ireland,1984-09-27,1985-09-02,,,7,Q333412,Q333312,,,,,,Q337375-817AC9A6-D683-4167-8B32-90D648C4E4E1
Q5301661,"Douglas Jay, Baron Jay",Q5333410,Economic Secretary to the Treasury,1947-11-13,1950-02-23,,,,,Q1699943,,,,,,Q5301661-EF004906-2F6E-4C48-995C-5566DB8BDBF9
Q5301661,"Douglas Jay, Baron Jay",Q5449647,Financial Secretary to the Treasury,1950-03-02,1951-10-26,,,,Q5569398,Q333334,,,,,,Q5301661-3DA222F1-1F9F-4C34-8E37-BABB7C13868F
Q5301689,Douglas King,Q7444267,Secretary for Mines,1928-01-13,1929-06-01,,,,Q5541526,Q4886592,,,,,,Q5301689-CAE6E469-478A-4CA4-8959-0CE258FE19F5
Q24039769,Douglas Ross,Q7883048,Parliamentary Under-Secretary of State for Scotland,2019-12-17,2020-05-26,,,,Q30174601,Q30176559,,,,,,Q24039769-A83DFEF8-DD06-4F78-91F6-34D8DA7D77FA
Q24039769,Douglas Ross,Q7883048,Parliamentary Under-Secretary of State for Scotland,2019-12-17,2020-05-26,,,,Q263076,Q30176559,,,,,,Q24039769-A83DFEF8-DD06-4F78-91F6-34D8DA7D77FA
Q24039769,Douglas Ross,Q7883048,Parliamentary Under-Secretary of State for Scotland,2019-12-17,2020-05-26,,,,Q30174601,Q328953,,,,,,Q24039769-A83DFEF8-DD06-4F78-91F6-34D8DA7D77FA
Q24039769,Douglas Ross,Q7883048,Parliamentary Under-Secretary of State for Scotland,2019-12-17,2020-05-26,,,,Q263076,Q328953,,,,,,Q24039769-A83DFEF8-DD06-4F78-91F6-34D8DA7D77FA
Q333011,"Dudley Ryder, 1st Earl of Harrowby",Q162754,Chancellor of the Duchy of Lancaster,1805-07-10,1806-02-12,,,,Q333417,Q333496,,,,,,Q333011-34D0C437-81D9-4D56-8D36-0A1C97B2FC05
Q333011,"Dudley Ryder, 1st Earl of Harrowby",Q943379,Lord President of the Council,1812-06-11,1827-08-17,,,,Q312577,Q128336,,,,,,Q333011-32C45B62-8C30-4585-BDC8-CA0F51AAD6A8
Q333011,"Dudley Ryder, 1st Earl of Harrowby",Q1371091,Secretary of State for Foreign and Commonwealth Affairs,1804-05-14,1805-01-11,,,,Q312569,Q332654,,,,,,Q333011-81F7C25D-8074-4697-BFD2-DA1BF7D8BC5A
Q5311965,"Dudley Ryder, 2nd Earl of Harrowby",Q162754,Chancellor of the Duchy of Lancaster,1855-03-31,1855-12-07,,,,Q334053,Q6791301,,,,,,Q5311965-D130BBD6-1F15-4BAD-BF0D-B02F2A4442E0
Q5311965,"Dudley Ryder, 2nd Earl of Harrowby",Q910308,Lord Privy Seal,1855-12-07,1857-01-01,,,,Q335300,Q7878978,,,,,,Q5311965-30111D07-4ECB-4E91-B619-B33CDBEBD9E2
Q5311966,"Dudley Ryder, 3rd Earl of Harrowby",Q910308,Lord Privy Seal,1885-06-24,1886-01-28,,,,Q244620,Q160852,,,,,,Q5311966-CC0BB93C-7E00-4553-BD9F-E5EBFF066FD0
Q5311966,"Dudley Ryder, 3rd Earl of Harrowby",Q3477306,Secretary of State for Education,1874-03-02,1878-04-04,,,,Q654942,Q333628,,,,,,Q5311966-46ECBCF4-6FE8-413D-9A04-B60798FAC409
Q335324,Duff Cooper,Q162754,Chancellor of the Duchy of Lancaster,1941-07-20,1943-11-11,,,,Q335480,Q5392836,,,,,,Q335324-632C2938-CA39-4D59-883A-E46C92D9DF6B
Q335324,Duff Cooper,Q5449647,Financial Secretary to the Treasury,1934-06-29,1935-11-22,,,,Q122522,Q335323,,,,,,Q335324-F4914E00-47A6-4A4A-8C71-94E1B93337D8
Q203129,Duncan Sandys,Q6866404,Minister of Supply,1951-10-31,1954-10-19,,,,Q5544891,Q333080,,,,,,Q203129-C6015E33-2393-4E3D-80C7-6D159ED1C61F
Q203129,Duncan Sandys,Q7444337,Secretary of State for Commonwealth Relations,1960-07-27,1964-10-16,,,,Q128976,Q4798053,,,,,,Q203129-8CE10F4B-9EE9-48A6-B735-743F09BD4628
